120.235.11.173 - - [26/May/2022:00:07:45 +0800] "POST /platform/frameworks/rs/git-upload-pack HTTP/2.0" 200 37662593 "application/x-git-upload-pack-result" "-" "git/2.25.1 (Linux) git-repo/2.22" - https
42.84.34.9 - - [26/May/2022:00:07:47 +0800] "POST /platform/external/unicode/git-upload-pack HTTP/1.1" 200 916 "application/x-git-upload-pack-result" "-" "git/2.7.4 (Linux) git-repo/1.13.8" - https
42.84.34.9 - - [26/May/2022:00:07:47 +0800] "POST /platform/external/unicode/git-upload-pack HTTP/1.1" 200 1812 "application/x-git-upload-pack-result" "-" "git/2.7.4 (Linux) git-repo/1.13.8" - https
42.84.34.9 - - [26/May/2022:00:07:48 +0800] "POST /platform/external/unicode/git-upload-pack HTTP/1.1" 200 4922 "application/x-git-upload-pack-result" "-" "git/2.7.4 (Linux) git-repo/1.13.8" - https
123.245.23.133 - - [26/May/2022:00:07:50 +0800] "POST /platform/external/ksoap2/git-upload-pack HTTP/2.0" 200 904 "application/x-git-upload-pack-result" "-" "git/2.32.0 (Apple Git-132) (Darwin) git-repo/2.22" - https
42.84.34.9 - - [26/May/2022:00:07:51 +0800] "GET /platform/external/universal-tween-engine/info/refs?service=git-upload-pack HTTP/1.1" 200 164100 "application/x-git-upload-pack-advertisement" "-" "git/2.7.4 (Linux) git-repo/1.13.8" - https
42.84.34.9 - - [26/May/2022:00:07:54 +0800] "POST /platform/external/universal-tween-engine/git-upload-pack HTTP/1.1" 200 916 "application/x-git-upload-pack-result" "-" "git/2.7.4 (Linux) git-repo/1.13.8" - https
42.84.34.9 - - [26/May/2022:00:07:55 +0800] "POST /platform/external/universal-tween-engine/git-upload-pack HTTP/1.1" 200 3245 "application/x-git-upload-pack-result" "-" "git/2.7.4 (Linux) git-repo/1.13.8" - https
42.84.34.9 - - [26/May/2022:00:07:55 +0800] "GET /platform/external/utf8proc/info/refs?service=git-upload-pack HTTP/1.1" 200 536 "application/x-git-upload-pack-advertisement" "-" "git/2.7.4 (Linux) git-repo/1.13.8" - https
123.245.23.133 - - [26/May/2022:00:07:58 +0800] "POST /platform/external/ksoap2/git-upload-pack HTTP/2.0" 200 1800 "application/x-git-upload-pack-result" "-" "git/2.32.0 (Apple Git-132) (Darwin) git-repo/2.22" - https
42.84.34.9 - - [26/May/2022:00:07:58 +0800] "GET /platform/external/v4l2_codec2/info/refs?service=git-upload-pack HTTP/1.1" 200 132827 "application/x-git-upload-pack-advertisement" "-" "git/2.7.4 (Linux) git-repo/1.13.8" - https
123.245.23.116 - - [26/May/2022:00:08:00 +0800] "POST /platform/external/ksoap2/git-upload-pack HTTP/2.0" 200 12520 "application/x-git-upload-pack-result" "-" "git/2.32.0 (Apple Git-132) (Darwin) git-repo/2.22" - https
42.84.34.39 - - [26/May/2022:00:08:02 +0800] "POST /platform/external/v4l2_codec2/git-upload-pack HTTP/1.1" 200 916 "application/x-git-upload-pack-result" "-" "git/2.7.4 (Linux) git-repo/1.13.8" - https
